Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ANIP,"ANI Pharmaceuticals, Inc.",59.26,$686.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,49.64,$725.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",95.36,$8.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",2.03,$314.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.91,$80.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anth
ABAC,"Aoxin Tianli Group, Inc.",3.39,$27.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abac
APOG,"Apogee Enterprises, Inc.",50.82,$1.47B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Education Group, Inc.",9.59,$1.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apol
AINV,Apollo Investment Corporation,6.07,$1.33B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AMEH,"Apollo Medical Holdings, Inc.",4.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ameh
APPF,"AppFolio, Inc.",22.2,$748.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/appf
AAPL,Apple Inc.,113.95,$607.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",1.12,$7.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,2.175,$52.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,9.5,$171.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agtc
AMAT,"Applied Materials, Inc.",32.35,$34.97B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,8.7,$762.48M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcc
AAOI,"Applied Optoelectronics, Inc.",24.74,$425.54M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaoi
AREX,Approach Resources Inc.,3.91,$162.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arex
APTI,"Apptio, Inc.",17.02,$652.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apti
APRI,"Apricus Biosciences, Inc.",1.14,$8.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apri
APVO,Aptevo Therapeutics Inc.,1.99,$40.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apvo
APTO,"Aptose Biosciences, Inc.",1.05,$13.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apto
AQMS,"Aqua Metals, Inc.",11.82,$211.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqms
AQXP,"Aquinox Pharmaceuticals, Inc.",14.73,$345.02M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqxp
ARDM,Aradigm Corporation,2.1,$31.4M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ardm
ARLZ,Aralez Pharmaceuticals Inc.,5.08,$324.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arlz
PETX,"Aratana Therapeutics, Inc.",7.9,$292.65M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/petx
ABUS,Arbutus Biopharma Corporation,3.25,$178.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abus
ARCW,"ARC Group Worldwide, Inc.",4.3,$80.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",2.4,$21.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abio
RKDA,"Arcadia Biosciences, Inc.",1.19,$52.93M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rkda
ARCB,ArcBest Corporation,32.45,$831.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcb
ACGL,Arch Capital Group Ltd.,86.19,$10.57B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acgl
ACGLP,Arch Capital Group Ltd.,21.17,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acglp
APLP,"Archrock Partners, L.P.",15.05,$986.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aplp
ACAT,Arctic Cat Inc.,16.29,$212.55M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acat
ARDX,"Ardelyx, Inc.",14.95,$707.16M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ardx
ARNA,"Arena Pharmaceuticals, Inc.",1.41,$343.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arna
ARCC,Ares Capital Corporation,16.79,$5.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcc
AGII,"Argo Group International Holdings, Ltd.",64.75,$1.94B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agii
AGIIL,"Argo Group International Holdings, Ltd.",25.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agiil
ARGS,"Argos Therapeutics, Inc.",4.9,$202.11M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/args
ARIS,"ARI Network Services, Inc.",5.37,$93.7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aris
ARIA,"ARIAD Pharmaceuticals, Inc.",12.68,$2.46B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aria
ARKR,Ark Restaurants Corp.,22.1982,$75.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arkr
ARTX,Arotech Corporation,3.95,$104.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/artx
ARWA,Arowana Inc.,10.25,$109.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arwa
ARWAR,Arowana Inc.,0.52,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arwar
ARWAU,Arowana Inc.,13.43,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arwau
